,i,j,Lon,Lat,SL,UC,Code,Error
26690200,3401,2929,113.35,-7.61666666666667,24.456818554737,23.748269858219,13,212
26690201,3402,2929,113.383333333333,-7.61666666666667,20.848975026504,19.979416776553,13,212
26690202,3403,2929,113.416666666667,-7.61666666666667,13.934533016485,12.889119026282,13,212
26690203,3404,2929,113.45,-7.61666666666667,1.32301838672601,0.0019006812329962,13,212
26690204,3405,2929,113.483333333333,-7.61666666666667,-15.310384363229,-16.792194363229,13,212
26690205,3406,2929,113.516666666667,-7.61666666666667,-35.899966996367,-37.370946996326,13,212
26690206,3407,2929,113.55,-7.61666666666667,-57.404072378163,-58.868702378163,13,212
26690207,3408,2929,113.583333333333,-7.61666666666667,-75.081433488762,-76.544033488762,13,212
26690208,3409,2929,113.616666666667,-7.61666666666667,-89.695110560803,-91.159860560781,13,212
26690209,3410,2929,113.65,-7.61666666666667,-97.400130288994,-98.871050288994,13,212
26690210,3411,2929,113.683333333333,-7.61666666666667,-91.385360849878,-92.866290849878,13,212
26690211,3412,2929,113.716666666667,-7.61666666666667,-73.158617293169,-74.653227293212,13,212
26690212,3413,2929,113.75,-7.61666666666667,-45.09958378827,-46.966154670236,13,212
26690213,3414,2929,113.783333333333,-7.61666666666667,-8.54849564964101,-11.108161077641,13,212
26690214,3415,2929,113.816666666667,-7.61666666666667,26.835498440935,23.003930190765,13,212
26690215,3416,2929,113.85,-7.61666666666667,54.535461213521,48.684905778543,13,212
26690216,3417,2929,113.883333333333,-7.61666666666667,71.7074815492824,64.763064631857,13,212
26690217,3418,2929,113.916666666667,-7.61666666666667,77.7854117097758,71.1110579051333,13,212
26690218,3419,2929,113.95,-7.61666666666667,74.9978844298391,70.9017327961075,13,212
26690219,3420,2929,113.983333333333,-7.61666666666667,65.9225911972416,64.5149799166161,13,212
26690220,3421,2929,114.016666666667,-7.61666666666667,56.962635300405,55.703772504798,13,212
26690221,3422,2929,114.05,-7.61666666666667,51.0980002006,49.474717830868,13,212
26690222,3423,2929,114.083333333333,-7.61666666666667,46.25124825303,44.389355223122,13,212
26690223,3424,2929,114.116666666667,-7.61666666666667,42.09073702437,39.566990619292,13,212
26690224,3425,2929,114.15,-7.61666666666667,40.579962458822,36.701649841802,13,212
26690225,3426,2929,114.183333333333,-7.61666666666667,39.828236983573,34.8435823955,13,212
26690226,3427,2929,114.216666666667,-7.61666666666667,37.766898467405,32.880492915566,13,212
26690227,3428,2929,114.25,-7.61666666666667,38.022372833364,33.48548563426,13,212
26690228,3429,2929,114.283333333333,-7.61666666666667,41.794320477008,37.244217704773,13,212
26690229,3430,2929,114.316666666667,-7.61666666666667,44.479606346762,40.16368818288,13,212
26690230,3431,2929,114.35,-7.61666666666667,46.1700192227717,42.251069148566,13,212
26690231,3432,2929,114.383333333333,-7.61666666666667,49.8879548969257,46.0428963327535,13,212
26690232,3433,2929,114.416666666667,-7.61666666666667,50.9462488062415,46.9545383870675,13,212
26690233,3434,2929,114.45,-7.61666666666667,44.5095249575889,40.5601104163767,13,212
26690234,3435,2929,114.483333333333,-7.61666666666667,36.27517759086,32.403432925449,13,212
26690235,3436,2929,114.516666666667,-7.61666666666667,32.752708906805,28.771844122825,13,212
26690236,3437,2929,114.55,-7.61666666666667,34.9292205814388,30.801963595839,13,212
26690237,3438,2929,114.583333333333,-7.61666666666667,42.9300404123975,38.7633400317772,13,212
26690238,3439,2929,114.616666666667,-7.61666666666667,56.0578112504772,51.7460842416664,13,212
26690239,3440,2929,114.65,-7.61666666666667,71.8127076098171,67.0699164229632,13,212
26690240,3441,2929,114.683333333333,-7.61666666666667,85.9272696847507,80.5055655246974,13,212
26690241,3442,2929,114.716666666667,-7.61666666666667,94.4841072441856,88.09724818543,13,212
26690242,3443,2929,114.75,-7.61666666666667,99.8634360118002,91.99466618015,13,212
26690243,3444,2929,114.783333333333,-7.61666666666667,107.429544959551,97.3927833550798,13,212
26690244,3445,2929,114.816666666667,-7.61666666666667,115.175022472502,103.196330907718,13,212
26700944,3345,2928,111.483333333333,-7.58333333333333,155.682502054843,148.27508205485,13,212
26700945,3346,2928,111.516666666667,-7.58333333333333,156.349145721446,148.970185721446,13,212
26700946,3347,2928,111.55,-7.58333333333333,163.554222537436,156.211052537436,13,212
26700947,3348,2928,111.583333333333,-7.58333333333333,181.311299341377,174.011179341336,13,212
26700948,3349,2928,111.616666666667,-7.58333333333333,207.442278256463,200.192368256463,13,212
26700949,3350,2928,111.65,-7.58333333333333,236.975851006484,229.783171006431,13,212
26700950,3351,2928,111.683333333333,-7.58333333333333,268.270624731488,261.142054731434,13,212
26700951,3352,2928,111.716666666667,-7.58333333333333,294.456009947185,287.398269947185,13,212
26700952,3353,2928,111.75,-7.58333333333333,307.720445378358,300.740035378351,13,212
26700953,3354,2928,111.783333333333,-7.58333333333333,304.415709868296,297.518939868296,13,212
26700954,3355,2928,111.816666666667,-7.58333333333333,287.656244761154,280.849194761154,13,212
26700955,3356,2928,111.85,-7.58333333333333,269.059420500741,262.347920500771,13,212
26700956,3357,2928,111.883333333333,-7.58333333333333,257.507119359351,250.896729359351,13,212
26700957,3358,2928,111.916666666667,-7.58333333333333,251.533164704761,245.029164704761,13,212
26700958,3359,2928,111.95,-7.58333333333333,247.292054131692,240.8994341317,13,212
26700959,3360,2928,111.983333333333,-7.58333333333333,243.830407744585,237.553827744585,13,212
26700960,3361,2928,112.016666666667,-7.58333333333333,239.81660396375,233.66042396375,13,212
26700961,3362,2928,112.05,-7.58333333333333,233.217805420269,227.186035420285,13,212
26700962,3363,2928,112.083333333333,-7.58333333333333,224.045700783182,218.142010783182,13,212
26700963,3364,2928,112.116666666667,-7.58333333333333,216.457788198657,210.685488198667,13,212
26700964,3365,2928,112.15,-7.58333333333333,218.885432710825,213.247482710808,13,212
26700965,3366,2928,112.183333333333,-7.58333333333333,236.552107445941,231.051097445941,13,212
26700966,3367,2928,112.216666666667,-7.58333333333333,266.187950319739,260.826090319677,13,212
26700967,3368,2928,112.25,-7.58333333333333,295.611250236506,290.390370236506,13,212
26700968,3369,2928,112.283333333333,-7.58333333333333,308.752747521687,303.674307521687,13,212
26700969,3370,2928,112.316666666667,-7.58333333333333,301.242477214871,296.3075672149,13,212
26700970,3371,2928,112.35,-7.58333333333333,279.241865115304,274.451185115304,13,212
26700971,3372,2928,112.383333333333,-7.58333333333333,248.315650860706,243.669530860706,13,212
26700972,3373,2928,112.416666666667,-7.58333333333333,215.441363217837,210.939753217893,13,212
26700973,3374,2928,112.45,-7.58333333333333,190.498937004434,186.141427004434,13,212
26700974,3375,2928,112.483333333333,-7.58333333333333,185.394648157909,181.180468157893,13,212
26700975,3376,2928,112.516666666667,-7.58333333333333,207.737669607708,203.66568960764,13,212
26700976,3377,2928,112.55,-7.58333333333333,249.042744898611,245.111504898611,13,212
26700977,3378,2928,112.583333333333,-7.58333333333333,287.01219237689,283.219882376834,13,212
26700978,3379,2928,112.616666666667,-7.58333333333333,297.344213865738,293.688693865754,13,212
26700979,3380,2928,112.65,-7.58333333333333,267.809267131755,264.288097131755,13,212
26700980,3381,2928,112.683333333333,-7.58333333333333,226.720392840341,223.330842840398,13,212
26700981,3382,2928,112.716666666667,-7.58333333333333,209.58374037562,206.32276037562,13,212
26700982,3383,2928,112.75,-7.58333333333333,211.137810123253,208.002120123253,13,212
26700983,3384,2928,112.783333333333,-7.58333333333333,215.212227861186,212.198267861178,13,212
26700984,3385,2928,112.816666666667,-7.58333333333333,213.541865986877,210.653604154633,13,212
26700985,3386,2928,112.85,-7.58333333333333,200.065408700678,197.314281183942,13,212
26700986,3387,2928,112.883333333333,-7.58333333333333,178.636655919217,176.037370532081,13,212
26700987,3388,2928,112.916666666667,-7.58333333333333,158.278211519034,155.890440771314,13,212
26700988,3389,2928,112.95,-7.58333333333333,140.241341267827,138.157024908131,13,212
26700989,3390,2928,112.983333333333,-7.58333333333333,123.563641004702,121.7932656362,13,212
26700990,3391,2928,113.016666666667,-7.58333333333333,108.499493324932,106.928897187342,13,212
26700991,3392,2928,113.05,-7.58333333333333,93.163968562088,91.665597169769,13,212
26700992,3393,2928,113.083333333333,-7.58333333333333,78.511507558035,77.118807677719,13,212
26700993,3394,2928,113.116666666667,-7.58333333333333,67.412021231118,66.177934167998,13,212
26700994,3395,2928,113.15,-7.58333333333333,58.548492996093,57.365392730613,13,212
26700995,3396,2928,113.183333333333,-7.58333333333333,49.051430341021,48.081616857791,13,212
26700996,3397,2928,113.216666666667,-7.58333333333333,43.081958289896,42.512838608073,13,212
26700997,3398,2928,113.25,-7.58333333333333,48.443255763573,48.294309675732,13,212
26700998,3399,2928,113.283333333333,-7.58333333333333,58.948979016516,59.459697260027,13,212
26700999,3400,2928,113.316666666667,-7.58333333333333,64.018259032381,65.105475420258,13,212
26701000,3401,2928,113.35,-7.58333333333333,62.434694575819,63.701786873824,13,212
