,i,j,Lon,Lat,SL,UC,Code,Error
26517392,3393,2945,113.083333333333,-8.15000000000001,-50.16959350652,-49.08565350652,13,212
26517393,3394,2945,113.116666666667,-8.15000000000001,-64.149027825239,-63.091957825239,13,212
26517394,3395,2945,113.15,-8.15000000000001,-74.539230844185,-73.513200844171,13,212
26517395,3396,2945,113.183333333333,-8.15000000000001,-78.214832908448,-77.223882908448,13,212
26517396,3397,2945,113.216666666667,-8.15000000000001,-75.061296681202,-74.109276681202,13,212
26517397,3398,2945,113.25,-8.15000000000001,-65.112437269048,-64.203037269073,13,212
26528177,3378,2944,112.583333333333,-8.11666666666667,-5.234835034018,-4.65106503397899,13,212
26528178,3379,2944,112.616666666667,-8.11666666666667,-20.026193182883,-19.391003182866,13,212
26528179,3380,2944,112.65,-8.11666666666667,-21.75639895075,-21.07444895075,13,212
26528180,3381,2944,112.683333333333,-8.11666666666667,-10.018854857876,-9.29486485790798,13,212
26528181,3382,2944,112.716666666667,-8.11666666666667,12.251218888704,13.012468888704,13,212
26528182,3383,2944,112.75,-8.11666666666667,37.9372175097721,38.7308575097721,13,212
26528183,3384,2944,112.783333333333,-8.11666666666667,59.4803802152508,60.3015302152183,13,212
26528184,3385,2944,112.816666666667,-8.11666666666667,70.8741235512418,71.7178935512418,13,212
26528185,3386,2944,112.85,-8.11666666666667,64.8757277134057,65.7371977134057,13,212
26528186,3387,2944,112.883333333333,-8.11666666666667,44.3109896955352,45.1852596955806,13,212
26528187,3388,2944,112.916666666667,-8.11666666666667,22.268949467998,23.151159467998,13,212
26528188,3389,2944,112.95,-8.11666666666667,3.48895289494499,4.37426289494499,13,212
26528189,3390,2944,112.983333333333,-8.11666666666667,-16.038678166786,-15.155038166786,13,212
26528190,3391,2944,113.016666666667,-8.11666666666667,-38.802705215216,-37.925425215216,13,212
26528191,3392,2944,113.05,-8.11666666666667,-64.302912437234,-63.436602437185,13,212
26528192,3393,2944,113.083333333333,-8.11666666666667,-89.54144614496,-88.69063614496,13,212
26528193,3394,2944,113.116666666667,-8.11666666666667,-110.50873829725,-109.67780829725,13,212
26528194,3395,2944,113.15,-8.11666666666667,-122.970978692288,-122.164218692275,13,212
26528195,3396,2944,113.183333333333,-8.11666666666667,-123.816105096884,-123.037635096884,13,212
26528196,3397,2944,113.216666666667,-8.11666666666667,-114.984303788604,-114.238123788604,13,212
26528197,3398,2944,113.25,-8.11666666666667,-98.682422359907,-97.972362359943,13,212
26538977,3378,2943,112.583333333333,-8.08333333333333,-18.556812701611,-18.310662701582,13,212
